genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
coassembly_long_C03M4_bin.27	3286	3093	247	genus	0.77	0.73	0.13	0.43	1.45	0.72	0.52	True
coassembly_long_C03M4_bin.40	3430	3183	97	genus	0.81	0.75	0.05	0.55	2.75	0.67	0.5	True
coassembly_long_C03M4_bin.50	1986	1819	154	family	0.8	0.73	0.09	0.84	8.39	0.57	0.41	True
coassembly_long_C03M4_bin.60	3008	2849	76	order	0.96	0.91	0.06	0.04	0.08	0.69	0.63	True
coassembly_long_C03M4_bin.63	3672	3439	223	genus	0.68	0.63	0.09	0.68	5.5	0.67	0.43	True
coassembly_long_C05M1_bin.28	3256	2892	180	family	0.83	0.74	0.1	0.47	1.93	0.59	0.44	True
coassembly_long_C05M1_bin.43	2908	2704	378	genus	0.76	0.7	0.24	0.12	0.26	0.74	0.52	True
coassembly_long_C05M1_bin.53	2385	2248	172	family	0.93	0.88	0.2	0.22	0.6	0.74	0.65	True
coassembly_long_C05M1_bin.55	2359	2227	150	class	0.96	0.91	0.18	0.35	0.83	0.77	0.7	True
coassembly_long_C05M1_bin.58	4269	3957	208	class	0.93	0.86	0.1	0.02	0.04	0.66	0.57	True
coassembly_long_C05M1_bin.61	3593	3328	670	genus	0.77	0.72	0.13	0.62	3.92	0.66	0.47	True
coassembly_long_C05M1_bin.68	3344	3166	43	genus	0.78	0.74	0.03	0.6	3.69	0.66	0.48	True
coassembly_long_C05M2_bin.18	3748	3524	90	genus	0.79	0.74	0.05	0.64	3.53	0.7	0.52	True
coassembly_long_C05M2_bin.30	3327	3137	97	genus	0.69	0.65	0.03	0.72	5.48	0.66	0.43	True
coassembly_long_C05M2_bin.49	2225	2099	35	family	0.95	0.9	0.02	0.15	0.36	0.64	0.58	True
coassembly_long_C05M2_bin.57	2298	2131	188	class	0.94	0.87	0.12	0.17	0.39	0.65	0.57	True
coassembly_long_C05M3_bin.12	3374	3188	142	family	0.91	0.86	0.05	0.35	1.17	0.66	0.57	True
coassembly_long_C05M3_bin.2	4517	4280	238	genus	0.74	0.7	0.11	0.62	3.52	0.68	0.47	True
coassembly_long_C05M3_bin.23	2488	2375	58	family	0.95	0.9	0.09	0.22	0.55	0.95	0.85	True
coassembly_long_C05M3_bin.30	4082	3942	149	genus	0.84	0.81	0.14	0.39	1.4	0.8	0.65	True
coassembly_long_C05M3_bin.32	3301	3148	794	family	0.93	0.89	0.28	0.09	0.2	0.79	0.71	True
coassembly_long_C05M3_bin.5	1455	1157	109	family	0.91	0.72	0.09	0.69	3.15	0.57	0.41	True
coassembly_long_C05M3_bin.50	3790	3603	115	genus	0.8	0.76	0.11	0.26	0.74	0.75	0.57	True
coassembly_long_C05M3_bin.53	2455	2392	439	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
coassembly_long_C05M3_bin.59	2177	2008	48	family	0.93	0.86	0.02	0.25	0.67	0.65	0.56	True
coassembly_long_C05M4_bin.10	1677	1443	48	genus	0.57	0.49	0.08	0.53	2.72	0.54	0.26	True
coassembly_long_C05M4_bin.26	2225	2079	50	family	0.95	0.89	0.07	0.18	0.45	0.64	0.57	True
coassembly_long_C05M4_bin.30	3391	3214	142	genus	0.8	0.76	0.06	0.53	2.61	0.66	0.5	True
coassembly_long_C05M4_bin.43	2357	2250	31	kingdom	1.0	0.95	0.0	0.0	0.0	0.95	0.91	True
coassembly_long_C05M5_bin.13	2546	2417	475	genus	0.94	0.89	0.58	0.02	0.05	0.89	0.8	False
coassembly_long_C05M5_bin.19	1772	1460	32	class	0.87	0.72	0.08	0.45	1.38	0.51	0.37	True
coassembly_long_C05M5_bin.33	3202	3026	58	genus	0.77	0.73	0.04	0.67	3.51	0.69	0.5	True
coassembly_long_C05M5_bin.34	5132	4798	141	family	0.92	0.86	0.14	0.14	0.33	0.74	0.64	True
coassembly_long_C05M5_bin.38	3087	3024	108	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.94	True
coassembly_long_C05M5_bin.43	2626	2344	448	genus	0.75	0.67	0.28	0.44	1.93	0.69	0.46	True
coassembly_long_C05M5_bin.46	2489	2385	683	family	0.92	0.88	0.48	0.08	0.19	0.94	0.83	False
coassembly_long_C05M5_bin.62	2398	2304	66	genus	0.93	0.89	0.15	0.09	0.2	0.76	0.68	True
coassembly_long_C05M5_bin.67	2044	1921	37	family	0.94	0.88	0.05	0.37	0.97	0.68	0.6	True
coassembly_long_C05M5_bin.9	2515	2390	119	genus	0.82	0.78	0.21	0.13	0.32	0.75	0.58	True
coassembly_long_C06M1_bin.15	2285	2135	549	genus	0.84	0.79	0.31	0.24	0.67	0.8	0.63	True
coassembly_long_C06M1_bin.28	1700	1647	6	family	0.94	0.91	0.04	0.06	0.12	0.77	0.7	True
coassembly_long_C06M1_bin.51	3542	3380	196	genus	0.78	0.75	0.19	0.22	0.6	0.78	0.58	True
coassembly_long_C06M2_bin.43	2689	2570	292	genus	0.85	0.81	0.45	0.04	0.08	0.87	0.7	False
coassembly_long_C06M2_bin.46	2529	2395	110	genus	0.69	0.65	0.08	0.55	2.59	0.66	0.43	True
coassembly_long_C06M2_bin.49	4769	4631	559	genus	0.84	0.81	0.37	0.18	0.42	0.95	0.77	True
coassembly_long_C06M3_bin.2	1322	1153	30	class	0.91	0.8	0.05	0.47	1.23	0.55	0.44	True
coassembly_long_C06M4_bin.6	2586	2411	119	order	0.97	0.9	0.2	0.1	0.21	0.8	0.72	True
coassembly_long_C06M5_bin.10	3479	3249	212	class	0.95	0.89	0.23	0.31	0.75	0.65	0.58	True
coassembly_long_C06M5_bin.14	3668	3471	60	family	0.93	0.88	0.03	0.3	0.93	0.67	0.59	True
coassembly_long_C06M5_bin.18	4638	4532	166	genus	0.93	0.91	0.17	0.06	0.13	0.96	0.87	True
coassembly_long_C06M5_bin.20	2090	1987	64	family	0.97	0.92	0.15	0.06	0.14	0.76	0.7	True
coassembly_long_C06M5_bin.24	4622	4280	112	order	0.92	0.85	0.07	0.03	0.06	0.66	0.57	True
coassembly_long_C06M5_bin.43	4142	3813	804	class	0.97	0.89	0.36	0.31	0.8	0.65	0.58	True
coassembly_long_C06M5_bin.44	1875	1562	17	family	0.85	0.71	0.05	0.05	0.09	0.6	0.42	True
coassembly_long_C06M5_bin.49	1761	1435	22	genus	0.65	0.53	0.03	0.67	5.21	0.53	0.28	True
coassembly_long_C06M5_bin.55	4302	3965	130	genus	0.68	0.63	0.08	0.66	4.99	0.69	0.43	True
coassembly_long_C10F1_bin.21	2803	2724	65	family	0.94	0.92	0.18	0.08	0.17	0.95	0.87	True
coassembly_long_C10F1_bin.25	2724	2555	339	class	0.97	0.91	0.26	0.37	0.87	0.77	0.71	True
coassembly_long_C10F1_bin.27	3111	2976	181	genus	0.75	0.72	0.15	0.41	1.65	0.69	0.5	True
coassembly_long_C10F1_bin.34	3481	3255	500	class	0.95	0.89	0.23	0.03	0.05	0.67	0.6	True
coassembly_long_C10F1_bin.40	3582	3438	106	class	0.97	0.93	0.08	0.18	0.42	0.7	0.65	True
coassembly_long_C10F1_bin.51	3091	2884	473	class	0.97	0.9	0.14	0.11	0.26	0.65	0.59	True
coassembly_long_C10F1_bin.57	2844	2631	138	family	0.91	0.84	0.13	0.67	3.39	0.7	0.59	True
coassembly_long_C10F1_bin.65	3524	3341	102	class	0.96	0.91	0.1	0.05	0.1	0.67	0.61	True
coassembly_long_C10F1_bin.67	2300	2117	622	class	0.96	0.89	0.31	0.06	0.14	0.71	0.63	True
coassembly_long_C10F2_bin.11	4161	3779	204	class	0.97	0.88	0.22	0.28	0.72	0.65	0.57	True
coassembly_long_C10F2_bin.16	1453	1210	21	family	0.73	0.61	0.03	0.59	3.11	0.52	0.32	True
coassembly_long_C10F2_bin.22	2272	2201	533	genus	0.91	0.88	0.22	0.03	0.05	0.96	0.85	True
coassembly_long_C10F2_bin.3	2390	2240	171	genus	0.73	0.68	0.09	0.57	2.87	0.66	0.45	True
coassembly_long_C10F2_bin.36	1832	1530	410	order	0.82	0.69	0.21	0.49	1.6	0.53	0.37	True
coassembly_long_C10F2_bin.48	2048	1905	62	family	0.95	0.88	0.1	0.19	0.5	0.67	0.59	True
coassembly_long_C10F2_bin.49	3583	3213	290	genus	0.73	0.66	0.12	0.63	3.5	0.62	0.41	True
coassembly_long_C10F2_bin.51	2475	2296	276	family	0.93	0.86	0.14	0.37	1.33	0.71	0.61	True
coassembly_long_C10F2_bin.53	1787	1483	46	family	0.82	0.68	0.06	0.49	2.44	0.53	0.36	True
coassembly_long_C10F3_bin.15	1985	1931	60	kingdom	1.0	0.97	0.0	0.0	0.0	0.95	0.93	True
coassembly_long_C10F3_bin.26	3285	3101	80	class	0.97	0.92	0.04	0.11	0.24	0.66	0.6	True
coassembly_long_C10F3_bin.38	5397	5014	162	class	0.97	0.9	0.15	0.25	0.62	0.65	0.59	True
coassembly_long_C10F3_bin.45	3035	2794	203	genus	0.83	0.77	0.29	0.03	0.06	0.81	0.62	True
coassembly_long_C10F4_bin.31	3074	2931	176	genus	0.83	0.79	0.09	0.56	2.96	0.67	0.53	True
coassembly_long_C10F4_bin.44	1591	1298	64	class	0.96	0.78	0.05	0.41	1.33	0.58	0.45	True
coassembly_long_C10F4_bin.5	3575	3370	134	genus	0.82	0.78	0.14	0.22	0.58	0.76	0.59	True
coassembly_long_C10F4_bin.50	3324	3078	677	order	0.95	0.88	0.37	0.43	0.96	0.76	0.67	True
coassembly_long_C10F5_bin.10	4973	4835	393	genus	0.9	0.88	0.39	0.2	0.48	0.95	0.83	True
coassembly_long_C10F5_bin.17	2662	2485	22	genus	0.91	0.85	0.05	0.13	0.3	0.72	0.61	True
coassembly_long_C10F5_bin.23	3244	2992	614	genus	0.79	0.73	0.15	0.68	3.93	0.68	0.5	True
coassembly_long_C10F5_bin.29	2754	2603	230	genus	0.82	0.77	0.19	0.14	0.34	0.75	0.58	True
coassembly_long_C10F5_bin.31	3874	3704	131	class	0.94	0.9	0.17	0.03	0.07	0.65	0.59	True
coassembly_long_C10F5_bin.39	4993	4710	229	genus	0.85	0.8	0.16	0.42	1.52	0.8	0.64	True
coassembly_long_C10F5_bin.40	2680	2548	475	class	0.95	0.91	0.22	0.06	0.12	0.65	0.59	True
coassembly_long_C10F5_bin.5	2698	2529	376	class	0.97	0.91	0.27	0.37	0.87	0.76	0.69	True
coassembly_long_C10F5_bin.54	2612	2371	225	genus	0.73	0.67	0.13	0.58	2.87	0.68	0.45	True
coassembly_long_C10F5_bin.8	2230	2132	168	class	0.96	0.92	0.22	0.36	0.85	0.76	0.7	True
coassembly_long_C11F1_bin.10	3456	3318	192	genus	0.83	0.8	0.26	0.23	0.6	0.82	0.65	True
coassembly_long_C11F1_bin.44	4130	4002	206	genus	0.83	0.8	0.13	0.4	1.51	0.78	0.63	True
coassembly_long_C11F1_bin.8	2437	2338	237	class	0.97	0.93	0.18	0.31	0.75	0.78	0.73	True
coassembly_long_C11F2_bin.26	4433	4140	105	class	0.93	0.87	0.09	0.02	0.05	0.65	0.57	True
coassembly_long_C11F2_bin.29	3479	3315	85	genus	0.87	0.83	0.06	0.34	0.87	0.81	0.67	True
coassembly_long_C11F2_bin.39	1971	1939	83	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
coassembly_long_C11F2_bin.51	3911	3623	143	order	0.93	0.87	0.1	0.04	0.08	0.67	0.58	True
coassembly_long_C11F2_bin.58	4256	3930	150	genus	0.72	0.67	0.11	0.42	1.76	0.69	0.46	True
coassembly_long_C11F2_bin.59	2511	2402	96	genus	0.8	0.77	0.11	0.48	1.93	0.68	0.52	True
coassembly_long_C11F2_bin.61	3423	3235	180	order	0.96	0.91	0.22	0.38	0.95	0.66	0.6	True
coassembly_long_C11F2_bin.65	2268	2118	503	genus	0.83	0.77	0.27	0.23	0.64	0.79	0.61	True
coassembly_long_C11F3_bin.33	2950	2721	136	class	0.94	0.87	0.1	0.16	0.38	0.64	0.56	True
coassembly_long_C11F3_bin.5	1974	1868	188	class	0.97	0.92	0.2	0.32	0.78	0.77	0.71	True
coassembly_long_C11F3_bin.7	4266	4251	54	genus	0.96	0.96	0.01	0.32	0.76	0.99	0.95	True
coassembly_long_C11F4_bin.1	1682	1350	53	class	0.9	0.72	0.07	0.19	0.49	0.52	0.38	True
coassembly_long_C11F4_bin.28	3293	3153	100	class	0.96	0.92	0.12	0.3	0.72	0.66	0.6	True
coassembly_long_C11F4_bin.52	2501	2328	153	family	0.92	0.85	0.13	0.26	0.72	0.67	0.57	True
coassembly_long_C11F4_bin.61	3668	3413	102	genus	0.75	0.69	0.11	0.41	1.63	0.71	0.49	True
coassembly_long_C11F5_bin.14	2214	2061	227	class	0.97	0.9	0.17	0.33	0.78	0.77	0.69	True
coassembly_long_C11F5_bin.26	2771	2573	43	family	0.96	0.89	0.08	0.11	0.25	0.78	0.69	True
coassembly_long_C11F5_bin.30	3800	3414	185	class	0.96	0.87	0.11	0.02	0.04	0.64	0.55	True
coassembly_long_C11F5_bin.42	2414	2190	388	family	0.9	0.81	0.11	0.66	3.79	0.64	0.52	True
coassembly_long_C11F5_bin.60	2142	1738	490	genus	0.59	0.48	0.24	0.57	3.14	0.54	0.26	True
coassembly_long_C11F5_bin.64	2667	2446	547	genus	0.73	0.67	0.21	0.59	3.12	0.66	0.44	True
coassembly_long_C12F1_bin.28	4223	4036	105	genus	0.75	0.72	0.12	0.34	1.14	0.73	0.52	True
coassembly_long_C12F1_bin.31	3740	3659	111	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
coassembly_long_C12F1_bin.39	3043	2928	174	genus	0.84	0.81	0.16	0.35	1.17	0.78	0.63	True
coassembly_long_C12F2_bin.26	3861	3551	157	class	0.96	0.88	0.19	0.33	0.78	0.68	0.6	True
coassembly_long_C12F2_bin.29	2344	2197	33	genus	0.93	0.87	0.15	0.09	0.2	0.72	0.62	True
coassembly_long_C12F2_bin.48	3592	3336	196	order	0.94	0.87	0.13	0.03	0.06	0.69	0.6	True
coassembly_long_C12F2_bin.57	3349	3035	749	class	0.95	0.86	0.45	0.49	1.0	0.76	0.65	False
coassembly_long_C12F2_bin.58	2952	2721	647	genus	0.8	0.74	0.46	0.18	0.45	0.74	0.55	False
coassembly_long_C12F2_bin.6	2537	2392	191	class	0.97	0.92	0.16	0.35	0.84	0.77	0.7	True
coassembly_long_C12F2_bin.9	1618	1344	46	order	0.87	0.72	0.05	0.18	0.48	0.52	0.38	True
coassembly_long_C12F3_bin.10	3853	3304	864	genus	0.69	0.59	0.34	0.59	3.59	0.64	0.38	True
coassembly_long_C12F3_bin.21	2017	1856	95	genus	0.89	0.81	0.1	0.17	0.43	0.65	0.53	True
coassembly_long_C12F3_bin.30	2366	2191	39	family	0.93	0.86	0.07	0.12	0.28	0.67	0.58	True
coassembly_long_C12F3_bin.32	1689	1449	33	phylum	0.95	0.81	0.05	0.29	0.73	0.52	0.42	True
coassembly_long_C12F3_bin.42	2740	2525	50	family	0.92	0.84	0.05	0.27	0.76	0.64	0.54	True
coassembly_long_C12F3_bin.8	3474	3099	165	class	0.94	0.83	0.15	0.03	0.07	0.62	0.52	True
coassembly_long_C12F4_bin.45	3050	2875	150	class	0.94	0.89	0.12	0.18	0.41	0.66	0.59	True
coassembly_long_C12F5_bin.12	3047	2824	136	order	0.95	0.88	0.29	0.02	0.05	0.76	0.67	True
coassembly_long_C12F5_bin.13	2465	2348	233	class	0.97	0.92	0.23	0.38	0.89	0.76	0.7	True
coassembly_long_C12F5_bin.14	2462	2345	40	family	0.93	0.89	0.08	0.16	0.38	0.73	0.65	True
coassembly_long_C12F5_bin.18	3349	3266	64	kingdom	1.0	0.98	0.0	0.0	0.0	0.95	0.93	True
coassembly_long_C12F5_bin.22	2193	1975	617	class	0.92	0.83	0.36	0.04	0.08	0.65	0.54	True
coassembly_long_C12F5_bin.24	4174	3864	241	genus	0.77	0.71	0.12	0.68	4.03	0.68	0.48	True
coassembly_long_C12F5_bin.29	2956	2690	407	genus	0.7	0.64	0.19	0.56	2.8	0.67	0.42	True
coassembly_long_C12F5_bin.33	2678	2548	153	class	0.97	0.92	0.21	0.36	0.85	0.77	0.71	True
coassembly_long_C12F5_bin.40	1949	1821	109	genus	0.94	0.88	0.04	0.2	0.56	0.66	0.58	True
coassembly_long_C12F5_bin.42	4054	3922	239	genus	0.86	0.83	0.16	0.38	1.37	0.8	0.66	True
coassembly_long_C12F5_bin.44	1951	1888	48	kingdom	1.0	0.97	0.0	0.0	0.0	0.92	0.89	True
coassembly_long_C12F5_bin.47	2051	1916	130	family	0.93	0.87	0.09	0.12	0.27	0.67	0.58	True
coassembly_long_C12F5_bin.48	4049	3863	104	kingdom	1.0	0.95	0.0	0.0	0.0	0.9	0.86	True
coassembly_long_C12F5_bin.49	2712	2543	521	genus	0.82	0.77	0.29	0.1	0.22	0.76	0.58	True
coassembly_long_C12F5_bin.54	1808	1776	40	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.93	True
coassembly_long_C12F5_bin.6	4132	3877	144	genus	0.82	0.77	0.09	0.55	2.95	0.67	0.52	True
coassembly_treat_CD_bin.101	1850	1553	333	genus	0.58	0.49	0.2	0.52	2.56	0.54	0.26	True
coassembly_treat_CD_bin.102	3318	3164	107	class	0.95	0.91	0.1	0.3	0.72	0.66	0.6	True
coassembly_treat_CD_bin.103	3120	2915	676	genus	0.83	0.78	0.15	0.56	2.09	0.74	0.57	True
coassembly_treat_CD_bin.107	2595	2366	159	genus	0.7	0.64	0.1	0.57	2.96	0.65	0.41	True
coassembly_treat_CD_bin.109	3020	2825	100	class	0.96	0.9	0.05	0.11	0.25	0.65	0.59	True
coassembly_treat_CD_bin.125	1713	1386	46	order	0.87	0.71	0.07	0.41	1.43	0.52	0.37	True
coassembly_treat_CD_bin.128	2883	2632	212	genus	0.73	0.66	0.12	0.56	2.78	0.68	0.45	True
coassembly_treat_CD_bin.132	2644	2478	62	genus	0.77	0.72	0.08	0.5	1.95	0.67	0.48	True
coassembly_treat_CD_bin.138	3047	2917	279	genus	0.72	0.69	0.08	0.7	6.3	0.66	0.46	True
coassembly_treat_CD_bin.19	3824	3585	183	class	0.93	0.87	0.09	0.03	0.07	0.66	0.58	True
coassembly_treat_CD_bin.2	2944	2780	234	genus	0.78	0.73	0.11	0.62	2.98	0.69	0.51	True
coassembly_treat_CD_bin.23	5137	4960	397	genus	0.89	0.86	0.32	0.09	0.19	0.96	0.82	True
coassembly_treat_CD_bin.26	2833	2742	96	genus	0.86	0.83	0.17	0.18	0.46	0.82	0.68	True
coassembly_treat_CD_bin.28	3493	3277	127	genus	0.69	0.65	0.04	0.7	5.18	0.66	0.43	True
coassembly_treat_CD_bin.29	1940	1600	26	family	0.84	0.69	0.16	0.05	0.11	0.59	0.41	True
coassembly_treat_CD_bin.3	3887	3794	443	family	0.96	0.93	0.27	0.13	0.29	0.95	0.89	True
coassembly_treat_CD_bin.31	2377	2261	39	kingdom	1.0	0.95	0.0	0.0	0.0	0.95	0.91	True
coassembly_treat_CD_bin.38	1706	1651	12	family	0.93	0.9	0.07	0.06	0.13	0.77	0.7	True
coassembly_treat_CD_bin.39	4151	3879	220	genus	0.81	0.76	0.14	0.28	0.86	0.75	0.57	True
coassembly_treat_CD_bin.41	2503	2400	158	genus	0.87	0.83	0.4	0.03	0.06	0.87	0.72	True
coassembly_treat_CD_bin.42	4156	3804	274	genus	0.75	0.69	0.13	0.64	3.46	0.68	0.47	True
coassembly_treat_CD_bin.48	1724	1416	38	class	0.87	0.72	0.09	0.45	1.39	0.51	0.37	True
coassembly_treat_CD_bin.5	1331	1125	28	order	0.84	0.71	0.04	0.48	1.36	0.52	0.37	True
coassembly_treat_CD_bin.50	3492	3300	136	order	0.96	0.91	0.16	0.35	0.9	0.67	0.61	True
coassembly_treat_CD_bin.51	3607	3369	118	genus	0.82	0.77	0.06	0.56	2.95	0.67	0.52	True
coassembly_treat_CD_bin.53	3980	3714	652	order	0.96	0.89	0.31	0.31	0.8	0.66	0.59	True
coassembly_treat_CD_bin.55	1438	1232	39	phylum	0.97	0.83	0.02	0.07	0.15	0.51	0.43	True
coassembly_treat_CD_bin.57	3489	3341	109	genus	0.74	0.71	0.1	0.66	3.51	0.69	0.49	True
coassembly_treat_CD_bin.6	3918	3683	117	genus	0.77	0.73	0.1	0.31	0.9	0.74	0.54	True
coassembly_treat_CD_bin.61	2687	2502	130	order	0.96	0.9	0.28	0.12	0.26	0.8	0.72	True
coassembly_treat_CD_bin.68	2891	2730	607	class	0.97	0.91	0.29	0.35	0.84	0.77	0.7	True
coassembly_treat_CD_bin.69	3031	2717	231	genus	0.68	0.61	0.13	0.59	3.04	0.66	0.4	True
coassembly_treat_CD_bin.76	4131	3935	134	class	0.98	0.93	0.08	0.18	0.43	0.69	0.64	True
coassembly_treat_CD_bin.77	2985	2771	216	class	0.94	0.87	0.13	0.18	0.43	0.66	0.57	True
coassembly_treat_CD_bin.79	4807	4458	379	class	0.97	0.9	0.25	0.26	0.67	0.66	0.59	True
coassembly_treat_CD_bin.80	2625	2494	91	genus	0.67	0.64	0.07	0.53	2.32	0.67	0.43	True
coassembly_treat_CD_bin.85	2603	2513	147	genus	0.93	0.9	0.52	0.08	0.17	0.94	0.85	False
coassembly_treat_CD_bin.93	2602	2383	72	genus	0.93	0.85	0.11	0.26	0.79	0.65	0.55	True
coassembly_treat_CD_bin.94	4282	3954	314	genus	0.74	0.69	0.13	0.72	4.31	0.68	0.47	True
coassembly_treat_CD_bin.96	3476	3242	147	class	0.96	0.89	0.16	0.31	0.74	0.65	0.58	True
coassembly_treat_CD_bin.99	2237	2076	154	family	0.92	0.86	0.18	0.14	0.34	0.68	0.58	True
coassembly_treat_CR_bin.10	2901	2620	128	genus	0.59	0.53	0.09	0.82	8.14	0.58	0.31	True
coassembly_treat_CR_bin.103	2108	2009	306	class	0.97	0.92	0.26	0.31	0.74	0.78	0.72	True
coassembly_treat_CR_bin.107	2555	2507	127	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.95	True
coassembly_treat_CR_bin.110	3650	3399	195	class	0.96	0.9	0.21	0.32	0.85	0.65	0.58	True
coassembly_treat_CR_bin.113	2955	2760	391	class	0.96	0.9	0.11	0.1	0.22	0.66	0.59	True
coassembly_treat_CR_bin.117	1645	1403	31	order	0.8	0.69	0.07	0.4	1.14	0.51	0.35	True
coassembly_treat_CR_bin.129	2618	2410	506	genus	0.77	0.71	0.32	0.16	0.4	0.73	0.52	True
coassembly_treat_CR_bin.133	3716	3520	85	class	0.96	0.91	0.08	0.05	0.11	0.67	0.6	True
coassembly_treat_CR_bin.14	3490	3281	102	class	0.96	0.9	0.04	0.1	0.22	0.65	0.58	True
coassembly_treat_CR_bin.17	3011	2833	712	genus	0.76	0.71	0.27	0.42	1.79	0.69	0.49	True
coassembly_treat_CR_bin.18	3431	3225	234	genus	0.78	0.73	0.12	0.69	4.83	0.68	0.5	True
coassembly_treat_CR_bin.21	3096	2882	655	class	0.96	0.89	0.3	0.38	0.9	0.76	0.68	True
coassembly_treat_CR_bin.23	2427	2269	198	genus	0.78	0.72	0.22	0.14	0.33	0.74	0.54	True
coassembly_treat_CR_bin.27	3409	3133	382	genus	0.73	0.67	0.17	0.61	3.42	0.67	0.45	True
coassembly_treat_CR_bin.36	4776	4467	314	genus	0.84	0.79	0.18	0.43	1.56	0.79	0.63	True
coassembly_treat_CR_bin.40	2280	2172	375	genus	0.83	0.79	0.26	0.13	0.3	0.75	0.59	True
coassembly_treat_CR_bin.46	2494	2432	270	order	0.96	0.93	0.67	0.03	0.07	0.94	0.88	False
coassembly_treat_CR_bin.48	2397	2224	32	family	0.93	0.86	0.04	0.12	0.27	0.67	0.58	True
coassembly_treat_CR_bin.5	3257	3004	221	genus	0.8	0.74	0.35	0.04	0.08	0.8	0.59	True
coassembly_treat_CR_bin.53	4166	3881	228	family	0.92	0.86	0.1	0.14	0.34	0.71	0.61	True
coassembly_treat_CR_bin.55	2521	2366	146	genus	0.78	0.74	0.14	0.51	2.05	0.68	0.5	True
coassembly_treat_CR_bin.57	3242	3033	207	class	0.94	0.88	0.14	0.16	0.37	0.66	0.58	True
coassembly_treat_CR_bin.60	4176	3945	258	genus	0.82	0.77	0.1	0.55	2.98	0.68	0.52	True
coassembly_treat_CR_bin.65	3991	3800	119	class	0.94	0.9	0.13	0.03	0.06	0.65	0.59	True
coassembly_treat_CR_bin.67	2425	2317	217	genus	0.94	0.9	0.36	0.16	0.39	0.77	0.69	True
coassembly_treat_CR_bin.70	3412	3037	241	class	0.94	0.83	0.21	0.04	0.08	0.62	0.52	True
coassembly_treat_CR_bin.77	3309	3137	136	family	0.91	0.86	0.34	0.1	0.23	0.94	0.81	True
coassembly_treat_CR_bin.79	3166	3014	146	genus	0.8	0.76	0.1	0.31	0.97	0.74	0.56	True
coassembly_treat_CR_bin.81	4194	3782	228	order	0.96	0.86	0.23	0.28	0.73	0.65	0.56	True
coassembly_treat_CR_bin.99	2805	2746	325	genus	0.85	0.83	0.15	0.34	1.12	0.8	0.67	True
coassembly_treat_HR_bin.120	2272	2106	91	family	0.94	0.87	0.12	0.19	0.5	0.68	0.6	True
coassembly_treat_HR_bin.13	3650	3189	521	genus	0.63	0.55	0.34	0.56	2.98	0.66	0.36	True
coassembly_treat_HR_bin.132	2781	2645	231	genus	0.9	0.86	0.39	0.13	0.31	0.75	0.65	True
coassembly_treat_HR_bin.138	2603	2427	160	family	0.93	0.87	0.11	0.65	3.13	0.7	0.61	True
coassembly_treat_HR_bin.18	3580	3428	130	genus	0.87	0.83	0.07	0.36	0.97	0.81	0.67	True
coassembly_treat_HR_bin.25	3244	3103	598	genus	0.76	0.73	0.19	0.73	4.38	0.73	0.53	True
coassembly_treat_HR_bin.39	4721	4466	234	genus	0.73	0.69	0.1	0.62	3.53	0.67	0.46	True
coassembly_treat_HR_bin.4	3768	3571	288	genus	0.82	0.78	0.16	0.4	1.49	0.78	0.6	True
coassembly_treat_HR_bin.41	3739	3452	129	family	0.91	0.84	0.07	0.48	1.73	0.67	0.56	True
coassembly_treat_HR_bin.48	2747	2631	209	genus	0.84	0.8	0.46	0.04	0.08	0.84	0.68	False
coassembly_treat_HR_bin.52	3145	2758	879	genus	0.71	0.62	0.33	0.59	3.71	0.65	0.41	True
coassembly_treat_HR_bin.70	2560	2383	463	class	0.96	0.89	0.34	0.34	0.81	0.77	0.69	True
coassembly_treat_HR_bin.71	2487	2382	44	family	0.93	0.89	0.07	0.16	0.39	0.73	0.65	True
coassembly_treat_HR_bin.78	3632	3251	149	genus	0.75	0.68	0.08	0.64	3.8	0.62	0.42	True
coassembly_treat_HR_bin.82	2733	2571	596	genus	0.83	0.78	0.1	0.57	2.99	0.66	0.52	True
coassembly_treat_HR_bin.85	2151	1971	56	class	0.95	0.87	0.06	0.05	0.11	0.67	0.58	True
coassembly_treat_HR_bin.90	4601	4289	150	class	0.93	0.87	0.09	0.02	0.05	0.66	0.57	True
coassembly_treat_HR_bin.93	2530	2352	166	genus	0.91	0.84	0.14	0.33	1.08	0.67	0.56	True
coassembly_treat_HR_bin.95	4126	3808	220	class	0.96	0.89	0.22	0.29	0.71	0.69	0.61	True
coassembly_treat_HT_bin.1	1906	1648	279	order	0.83	0.72	0.15	0.39	1.31	0.53	0.38	True
coassembly_treat_HT_bin.101	4344	4322	42	genus	0.95	0.94	0.01	0.32	0.76	0.99	0.94	True
coassembly_treat_HT_bin.103	2689	2477	58	family	0.92	0.84	0.05	0.27	0.76	0.64	0.54	True
